block_number,wsteth_eth,stETH_amount,ETH_amount,stEthPerToken
15286000,1.044791786461149118991897922,622514541693824814063478,208739625718469946817689,1081007898660010473
15286264,1.044788796206710168590348076,622522560073953322213625,208731875003709021445866,1081007898660010473
15286528,1.044870043337436937846973706,623081459317382862963711,209203635175907968812749,1081007898660010473
15286792,1.044875714721175574695166688,623089566512421588111903,209226242960340910389587,1081007898660010473
15287056,1.044895793817107731982218866,623071420534579919016485,209290589389155482442089,1081007898660010473
15287320,1.044909335047944809460318538,622809040274350021849281,209249973055414228038128,1081007898660010473
15287584,1.044901496512332217392327038,622808293740314503451313,209222212936720554471092,1081007898660010473
15287848,1.044855738619614893281095647,622934679278065493510389,209104229188052244849852,1081007898660010473
15288112,1.044856213439367076389885369,622940188163553517831227,209107741689962155909068,1081007898660010473
15288376,1.044863421541068593256795793,622890395896190100376956,209116279736126728643823,1081007898660010473
15288640,1.044849262802203471167672433,622928478698122695765954,209079466540619863661155,1081007898660010473
15288904,1.044952166431638129751036104,623003117423445080102665,209071977621751663721954,1081123978762408382
15289168,1.044773453226636616975042671,623715126811359917632427,208686902335945820112923,1081123978762408382
15289432,1.043215411504845091528181911,627779350894835630627624,204761458712439623465387,1081123978762408382
15289696,1.043219844505829163594512465,627768070766466743222596,204772349873013380350379,1081123978762408382
15289960,1.043140496066578659650758709,628048041179230742328417,204603144913542118096398,1081123978762408382
15290224,1.043173103874544871416674141,627965214509537524047908,204683110844274078698322,1081123978762408382
15290488,1.043259609401037124598587980,627745075382452869285824,204895658753948149074150,1081123978762408382
15290752,1.043262519149521727612750510,627750064628605336677347,204906867325617911864210,1081123978762408382
15291016,1.043136652738187564182226197,628053822594228151898941,204592430188767051116538,1081123978762408382
15291280,1.043073533979753442224591709,628213941303502595407295,204437913935545120996900,1081123978762408382
15291544,1.042867678040956702645303267,629004567698936745352213,204023901807622545642311,1081123978762408382
15291808,1.042829611911055165407447021,629184407216763703211357,203958663969700824542922,1081123978762408382
15292072,1.042833160129384317826861661,629178091732771070046691,203968126974194500217275,1081123978762408382
15292336,1.042837661817127115071457411,629174596628875886513183,203981599432054735324038,1081123978762408382
15292600,1.042855954262129625220723028,629168258040778434466473,204038919577560993190141,1081123978762408382
15292864,1.043036684185404627811522005,628711888036031374008902,204479442608601595770090,1081123978762408382
15293128,1.043040670433045269405170075,628701160862842030716318,204488981927642166797688,1081123978762408382
15293392,1.043047034052168253737136183,628685044381442676902730,204504541785045227455405,1081123978762408382
15293656,1.043049872369591346554784650,628695209603960874820175,204517128345504288001571,1081123978762408382
15293920,1.042123031808266375719540520,627351203308308586305643,201110631538323433529919,1081123978762408382
15294184,1.042137945412820565493916547,627297285627292713158674,201140270911190254666784,1081123978762408382
15294448,1.042290371566582773965592423,627162010682625098879623,201577951626629896945040,1081123978762408382
15294712,1.042331759777286537271834277,627042737304192634375098,201670707510559713142712,1081123978762408382
15294976,1.041518562405194581188538905,629020831570678420837260,199761504768428104681508,1081123978762408382
15295240,1.041481208615440134934715388,628826419922204551679610,199241676470011455938415,1081240042351483443
15295504,1.041484707917415208910938418,628818062170974820556498,199249744555331455504224,1081240042351483443
